sample_id,spcode,species
DCK149,PRGL2,Prosopis glandulosa
DCK150,PRGL2,Prosopis glandulosa
DCK151,PRGL2,Prosopis glandulosa
DCK152,PRGL2,Prosopis glandulosa
DCK153,PRGL2,Prosopis glandulosa
DCK154,PRGL2,Prosopis glandulosa
DCK155,PRGL2,Prosopis glandulosa
DCK156,PRGL2,Prosopis glandulosa
DCK157,PRGL2,Prosopis glandulosa
DCK158,PRGL2,Prosopis glandulosa
DCK159,PRGL2,Prosopis glandulosa
DCK160,PRGL2,Prosopis glandulosa
